,Año,Trimestre,Provincia,Accesos por cada 100 hogares,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Mbps (Media de bajada),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS
52,2022,1,Chubut,88.05,44133,66667,9184,30592,21052,13,1130,1677,61369,31856,3308,13871,14055,15607
53,2022,1,Córdoba,85.76,195610,501799,235838,60843,9713,50,1000,12782,165922,126009,73967,34892,577027,13104
54,2022,1,Corrientes,47.64,40462,79093,10875,6774,5374,38,670,4029,24563,25665,27077,10452,43631,7094
55,2022,1,Entre Ríos,63.7,67159,138986,23091,26098,12592,36,1070,5745,50075,4962,42294,21578,81757,1675
56,2022,1,Formosa,34.96,16397,15927,5146,16876,2020,30,970,4480,24113,6945,6613,7160,15028,5880
57,2022,1,Jujuy,58.06,21307,60616,25949,4662,3975,28,580,1761,22141,16321,37923,5760,35287,2442
58,2022,1,La Pampa,91.66,8003,58978,21739,19903,1109,15,3010,2223,62812,9869,12044,525,14400,2833
59,2022,1,La Rioja,78.77,9103,59228,9546,6395,310,41,180,7780,3576,4692,23624,5645,45970,0
60,2022,1,Mendoza,48.74,49464,74145,123228,26969,1379,26,1140,3355,51230,26407,74178,21566,95048,3287
61,2022,1,Misiones,49.04,39147,91752,25178,7807,7624,42,510,3873,35655,22261,26855,15854,58610,8349
62,2022,1,Neuquén,74.17,28443,73200,24193,23098,7450,43,1370,1123,39856,15623,11163,2654,71238,7885
63,2022,1,Río Negro,67.04,38662,45366,38037,16815,18494,31,1160,1383,35565,18859,26926,14144,37729,22652
64,2022,1,Salta,56.11,44714,98667,40994,595,719,37,1140,1725,35576,68246,6313,2214,76838,6489
65,2022,1,San Juan,43.55,34038,14449,11294,20723,7674,12,260,2269,32356,11914,25144,2088,11916,2465
66,2022,1,San Luis,80.72,7987,11296,31,71809,28721,21,610,6430,8287,3837,9802,68612,13,28589
67,2022,1,Santa Cruz,43.34,10537,23420,10766,3974,4050,11,510,6898,12710,11502,12277,2628,2551,4850
68,2022,1,Santa Fe,77.3,213486,444609,146552,45261,20571,39,4680,12435,143796,208361,84787,58018,344170,18444
69,2022,1,Santiago Del Estero,47.17,18118,87979,1093,6349,2922,14,1780,1401,30220,6117,13542,8490,8309,7920
70,2022,1,Tierra Del Fuego,98.29,13031,38700,416,1240,3400,11,240,8940,12849,1564,18034,1767,982,2421
71,2022,1,Tucumán,57.39,92532,62396,86174,3995,4870,47,390,2212,36028,46961,21014,5211,133846,2730
72,2021,4,Buenos Aires,75.66,426325,2706506,1176024,126887,73415,60,37821,11026,352950,331292,297296,196021,3259793,22958
73,2021,4,Capital Federal,49.06575,111360,1205128,60005,5679,29947,83,5630,1695,47133,81899,66135,66755,1147939,0
74,2021,4,Catamarca,55.25,16385,13858,25100,1512,2235,46,710,0,6038,7855,9804,3262,29827,2233
75,2021,4,Chaco,44.05,35548,63145,34688,8005,2359,42,4610,1120,18845,22678,21937,13692,58435,7585
76,2021,4,Chubut,82.57,46361,57412,9655,28041,18839,9,1260,1294,63698,39568,31175,578,2904,15763
77,2021,4,Córdoba,84.51,212011,487489,217214,61277,8779,46,1000,2479,184548,130892,76246,41198,538700,12607
78,2021,4,Corrientes,45.51,42523,71183,10138,6778,529,36,670,6450,28830,26368,22922,10087,39911,7082
79,2021,4,Entre Ríos,63.16,70459,133387,23452,25022,12726,33,1070,3024,56043,49636,38295,24068,77290,16583
80,2021,4,Formosa,34.45,17211,15111,5151,16018,1720,29,840,0,22908,6983,6811,1135,13775,1967
81,2021,4,Jujuy,56.92,22330,60511,24156,2927,3991,27,580,1750,22446,16793,38134,5640,33421,2324
82,2021,4,La Pampa,89.57,8175,58000,20192,19286,1354,14,3010,4930,64840,9082,12259,4821,12184,3027
83,2021,4,La Rioja,77.92,10387,56651,9446,6613,310,40,180,10,5018,5437,23559,5671,43424,0
84,2021,4,Mendoza,47.51,59842,71553,109667,24666,1859,22,1560,1463,66428,30308,75214,18621,75031,3660
85,2021,4,Misiones,49.06,41778,92068,22035,7649,7602,39,510,50,41916,23554,26721,15954,54596,8335
86,2021,4,Neuquén,73.3,29175,72761,23253,21531,7460,40,1400,9400,42313,13264,10515,331,69217,7767
87,2021,4,Río Negro,65.69,42037,44495,32212,16558,18451,27,1560,1174,38373,19878,31255,413,36142,22645
88,2021,4,Salta,56.81,46972,99808,39555,5882,7188,34,1140,200,40673,69324,6642,3535,72622,6475
89,2021,4,San Juan,39.59,35868,13102,11072,11423,8493,11,440,1442,28906,10955,23978,3980,9800,4435
90,2021,4,San Luis,80.3,8472,11064,30,7056,28723,21,620,2640,8550,4276,9107,67363,9,29218
91,2021,4,Santa Cruz,43.05,10790,22902,10031,4346,4170,9,520,2970,20305,11641,13054,177,876,4910
92,2021,4,Santa Fe,77.09,233427,444373,128856,43556,16229,36,4670,5810,169706,206856,8569,62349,322015,18777
93,2021,4,Santiago Del Estero,47.05,19032,86563,1088,6256,2922,14,1780,9090,31915,61524,12205,8000,7537,7930
94,2021,4,Tierra Del Fuego,98.4,13317,38148,426,1240,3420,11,260,3850,13505,16534,16562,1748,1017,258
95,2021,4,Tucumán,55.93,97830,59022,78790,2511,4860,45,390,970,37321,48736,21023,5326,125857,2400
96,2021,3,Buenos Aires,71.68,585729,2595485,885613,120228,64554,56,37193,31149,1108940,248153,141383,192797,2482266,9728
97,2021,3,Capital Federal,49.06575,142902,1192107,42966,6059,29371,78,2950,6030,156978,67013,39785,73502,1075229,0
98,2021,3,Catamarca,52.71,18413,11709,22331,1568,2233,43,710,0,6755,8428,10517,1659,26618,2206
99,2021,3,Chaco,42.96,38258,63659,27583,8018,2353,39,3010,1120,22545,20986,23852,14412,49705,7958
100,2021,3,Chubut,80.71,49269,55794,8946,23376,18681,8,1040,1050,89168,26281,18538,532,1643,14907
101,2021,3,Córdoba,81.28,229275,477223,167495,57617,15178,42,990,2452,204989,141285,6505,47198,476459,9256
102,2021,3,Corrientes,44.9,44805,69403,7542,6766,5303,32,670,6450,29629,28478,24792,9687,35468,5053
103,2021,3,Entre Ríos,62.18,74443,128752,20485,235,13195,30,1070,3024,61354,59776,39114,16284,67961,12755
104,2021,3,Formosa,33.96,18093,14111,4730,1569,1710,27,3810,0,22778,7142,6978,1192,12707,1617
105,2021,3,Jujuy,55.69,23554,60758,19926,2952,3968,26,480,1750,23884,16417,37755,5610,29917,2401
106,2021,3,La Pampa,84.28,9015,57881,17817,14479,1295,13,2980,3130,65063,7395,8737,4023,10506,4152
107,2021,3,La Rioja,77.26,11329,54744,9444,6613,300,39,180,10,5366,5979,23315,4868,42613,0
108,2021,3,Mendoza,45.55,91474,71247,70579,21811,8280,13,360,310,151871,1264,62628,7596,21087,500
109,2021,3,Misiones,45.57,43230,89469,10969,7198,7662,31,510,50,41932,25099,26079,14792,42291,8279
110,2021,3,Neuquén,69.71,29650,73794,16455,1927,6400,38,1120,3270,57441,8566,6234,3631,57919,5579
111,2021,3,Río Negro,61.97,47934,44519,18725,15031,18376,25,1250,5570,68991,373,1488,2282,34011,20009
112,2021,3,Salta,55.96,49212,98318,36126,5724,6453,31,1010,200,41431,70104,6962,3878,67010,6327
113,2021,3,San Juan,39.46,40072,12922,6670,11372,8447,7,180,3330,59873,7520,1325,3380,278,4641
114,2021,3,San Luis,79.87,8417,11884,27,68856,2868,22,600,0,11552,2405,6491,67942,22,29392
115,2021,3,Santa Cruz,43.75,12347,22961,6328,4269,3071,8,500,0,30561,8365,6799,1788,678,7350
116,2021,3,Santa Fe,75.02,245929,443156,93412,43447,1564,33,4670,5790,193207,20125,83941,5508,290793,16267
117,2021,3,Santiago Del Estero,47.0,19939,85535,909,6147,2928,13,1230,9090,32752,61838,11274,8010,6863,8980
118,2021,3,Tierra Del Fuego,94.95,12853,36958,6,160,3900,10,170,0,23723,13397,9782,1433,976,8950
119,2021,3,Tucumán,54.64,104489,53868,70964,2408,7430,42,320,970,39446,50293,21986,53,115154,1640
120,2021,2,Buenos Aires,70.0,603255,2503830,854173,113546,57547,53,37192,31178,1096049,244001,140322,236897,2337604,9108
121,2021,2,Capital Federal,49.06575,148989,1175097,41318,558,29371,73,2940,6030,157558,73568,43859,86655,1037752,660
122,2021,2,Catamarca,52.34,20305,9426,22331,1449,2233,42,710,0,7219,9091,6828,4941,25388,2206
123,2021,2,Chaco,43.33,39826,62948,27584,8018,2353,37,3010,1120,23444,21574,24032,16069,47239,7958
124,2021,2,Chubut,72.29,49271,41497,6081,23682,18706,8,1040,1050,89639,22605,16604,3896,1112,5172
125,2021,2,Córdoba,80.12,239780,467782,151855,55944,15519,40,990,2452,201757,136516,6695,70824,442357,9925
126,2021,2,Corrientes,43.54,46648,67262,3731,6557,5303,30,670,6450,29419,27037,24524,10059,32697,5053
127,2021,2,Entre Ríos,61.66,77836,124957,17856,23786,13197,28,1070,3024,63518,55349,39468,18484,61605,16077
128,2021,2,Formosa,33.23,19571,12509,3610,1569,1710,24,3810,0,22364,731,746,1341,11077,1618
129,2021,2,Jujuy,56.18,24738,60800,19611,2731,3968,26,480,1750,24182,16577,37908,6070,29950,2401
130,2021,2,La Pampa,82.08,9017,57014,17132,13209,1295,12,2980,5540,64146,7769,8128,3399,9311,4062
131,2021,2,La Rioja,76.98,11627,54255,9445,6245,300,39,180,10,5312,5971,23298,4825,42158,190
132,2021,2,Mendoza,40.97,91503,70834,44696,21811,8270,13,360,310,137462,10886,56117,4403,20686,500
133,2021,2,Misiones,45.01,44960,87861,10376,5317,7662,29,510,50,41643,25907,25811,16172,38308,8279
134,2021,2,Neuquén,69.14,30083,72690,15619,19218,6400,36,1120,3270,57713,8631,5871,5943,54008,5645
135,2021,2,Río Negro,61.94,48189,43761,18727,15031,18376,24,1250,5570,69356,3663,15019,3867,31488,20009
136,2021,2,Salta,54.93,51396,96016,32050,5724,6453,29,1010,200,42543,67012,7099,9654,58882,6328
137,2021,2,San Juan,39.28,40072,12369,6673,11372,8447,7,180,3330,59989,7840,1255,3400,278,4641
138,2021,2,San Luis,83.48,8417,11308,28,6686,36205,22,600,0,11752,2703,5418,65946,22,36917
139,2021,2,Santa Cruz,44.01,12347,22967,6328,4269,3071,8,500,0,30595,8463,6888,1575,676,7350
140,2021,2,Santa Fe,75.07,256741,431915,90424,43997,17523,31,4670,8960,202018,204077,80452,75195,262124,15371
141,2021,2,Santiago Del Estero,46.56,20734,83770,909,5081,3596,13,1230,9090,32034,62224,10359,8110,6064,1566
142,2021,2,Tierra Del Fuego,67.89,12853,22504,6,140,3160,9,170,0,21335,6913,458,4760,889,1483
143,2021,2,Tucumán,54.93,110429,48359,71683,1837,7430,40,320,970,40224,51648,23732,5022,109616,268
144,2021,1,Buenos Aires,69.11,629679,2452056,821597,98806,57864,51,36939,31187,1108368,24052,163747,222061,2246313,10867
145,2021,1,Capital Federal,49.06575,159805,1145093,39980,5559,29236,68,1350,2440,159662,76753,56457,83255,1003041,1260
146,2021,1,Catamarca,48.9,26316,4409,18688,3220,2233,40,710,0,7423,8455,10115,7120,22996,2196
147,2021,1,Chaco,43.14,43214,61251,25426,8004,1875,34,3010,1120,24357,22102,27556,14496,42462,8384
148,2021,1,Chubut,68.99,45501,40960,3444,23723,18712,8,1060,1090,86986,21401,15392,2844,1112,439
149,2021,1,Córdoba,78.59,260350,444695,134634,54137,17065,36,930,2386,211799,135092,74659,71984,402191,12677
150,2021,1,Corrientes,42.66,49160,62876,3337,5949,5303,26,670,5270,31544,26223,26169,9001,27641,5453
151,2021,1,Entre Ríos,60.44,83688,118424,16846,20836,12169,24,1050,2911,67255,5606,42432,15774,54600,12826
152,2021,1,Formosa,32.73,20663,11412,2562,15669,3800,21,560,0,22409,7569,7916,1215,9579,1942
153,2021,1,Jujuy,55.63,32254,54324,17322,2677,3879,27,490,1750,23735,17293,40649,5680,25609,2378
154,2021,1,La Pampa,81.78,8946,58711,15779,12369,13,11,2980,5540,68200,7864,7611,2786,7368,2424
155,2021,1,La Rioja,49.81,17363,34984,1,2500,300,13,180,10,36749,5968,4604,2150,5074,0
156,2021,1,Mendoza,39.15,91844,69295,38619,18332,8330,13,280,400,134386,11216,52533,4061,16615,440
157,2021,1,Misiones,43.17,48292,82339,7064,4796,6896,25,510,5240,40949,25503,27101,1405,32953,8256
158,2021,1,Neuquén,66.84,30223,70457,14171,17752,6320,34,1160,3270,56171,8443,5903,5677,50840,5758
159,2021,1,Río Negro,60.88,48777,42192,17828,13994,18377,22,1250,4660,70011,4187,13045,3642,29589,20103
160,2021,1,Salta,53.93,54768,89187,31498,5669,6452,27,1090,200,40785,68149,9164,8139,54889,6319
161,2021,1,San Juan,39.06,40072,11589,6671,11482,8453,7,250,1940,60439,8580,11494,3400,276,4641
162,2021,1,San Luis,81.24,8417,10678,28,63826,36205,22,580,0,11889,2926,4429,62913,22,36917
163,2021,1,Santa Cruz,41.65,12347,23089,5975,4264,3900,8,500,0,30655,8334,6987,1337,647,0
164,2021,1,Santa Fe,73.92,277012,421480,70976,3914,17519,28,5180,8910,201632,204458,91846,65476,236924,24382
165,2021,1,Santiago Del Estero,45.67,26468,75849,570,5158,3596,12,1230,9090,33884,58464,8549,7000,4868,4144
166,2021,1,Tierra Del Fuego,77.35,12853,27247,6,0,3160,9,170,0,21379,1468,4317,4860,919,11836
167,2021,1,Tucumán,54.82,147199,12185,69954,1834,7400,38,290,970,42810,53416,25255,4188,103437,268
168,2020,4,Buenos Aires,68.98,635651,2441248,804991,93444,57927,50,36939,31197,1109865,242243,214171,213588,2176242,9016
169,2020,4,Capital Federal,49.06575,163060,1142528,39890,4815,29237,67,1350,2440,160210,78123,60208,80269,1000073,2680
170,2020,4,Catamarca,49.41,26870,5115,17856,3220,2233,38,710,0,8843,874,11436,5910,20406,2309
171,2020,4,Chaco,43.03,44332,61200,23687,7997,1875,32,3010,1120,24782,22479,26802,15701,40949,7965
172,2020,4,Chubut,68.35,45703,39756,3040,23363,18712,7,1060,1090,88157,21824,12046,2818,1112,4402
173,2020,4,Córdoba,78.08,267396,439322,125620,52827,17536,35,1190,2386,214963,135262,82221,70013,384169,13568
174,2020,4,Corrientes,42.43,50102,61495,3146,5626,529,25,670,5270,31900,26321,25687,9383,26789,4985
175,2020,4,Entre Ríos,59.47,85683,113670,15653,20206,12169,24,1050,2911,65659,53556,40755,166,53141,14654
176,2020,4,Formosa,32.49,21264,10789,2432,15341,3800,20,560,0,23540,7606,7181,1197,8946,168
177,2020,4,Jujuy,53.46,32850,52815,15639,1077,347,25,490,1820,23772,14379,4493,4460,19282,2811
178,2020,4,La Pampa,81.77,9009,58945,15432,12194,1315,10,2980,5540,70184,8124,6562,2396,6257,252
179,2020,4,La Rioja,50.11,17513,34984,1,2500,300,13,180,10,36906,606,4633,1810,4979,0
180,2020,4,Mendoza,38.63,91842,68364,36083,18331,8330,11,280,400,146312,11172,40396,3378,11557,257
181,2020,4,Misiones,42.64,49462,79855,6589,4359,6896,25,510,5240,39988,26078,26445,1481,32264,7001
182,2020,4,Neuquén,67.0,30468,70614,13732,17689,6320,34,1160,3270,56434,8478,5791,5493,50776,572
183,2020,4,Río Negro,61.09,48991,42022,17826,13994,18377,22,1250,4660,70305,4153,13131,3512,29372,20146
184,2020,4,Salta,54.04,56659,87817,30604,5858,6452,25,1090,5140,41443,68829,15188,8291,46697,6319
185,2020,4,San Juan,36.32,40072,7004,6599,10468,8453,6,250,1940,61316,7400,5126,3320,275,4588
186,2020,4,San Luis,81.68,8417,11767,27,63019,36205,21,580,0,14020,349,2688,62239,22,36918
187,2020,4,Santa Cruz,37.0,12347,19657,1041,4659,297,7,470,0,27173,4382,6634,1033,647,7580
188,2020,4,Santa Fe,73.58,287271,414746,62692,38712,17392,27,5180,8910,206372,203793,94246,65145,226246,23602
189,2020,4,Santiago Del Estero,43.75,26812,70522,570,5169,3596,11,1230,9090,34518,5759,4666,4110,4520,3932
190,2020,4,Tierra Del Fuego,76.27,12853,26439,6,0,3160,8,170,0,21881,6119,3497,4880,922,669
191,2020,4,Tucumán,54.78,149322,11150,68043,1834,7400,36,290,970,44095,54334,32155,4105,93594,268
192,2020,3,Buenos Aires,67.66,653930,2384557,749087,94162,55541,48,37542,31514,1113823,23471,219772,194248,2085815,19853
193,2020,3,Capital Federal,49.06575,170375,1129573,39417,3936,29374,64,2640,3120,162222,85083,68753,78028,977766,2470
194,2020,3,Catamarca,47.16,26868,3690,16857,2610,2228,37,630,0,8276,8768,11195,5620,18886,2154
195,2020,3,Chaco,41.54,45745,58825,20675,6706,2003,31,3080,1120,24675,21639,27546,13751,38729,7194
196,2020,3,Chubut,68.34,45761,39386,2897,23216,18767,7,1580,1090,87559,22114,12217,2818,1110,3942
197,2020,3,Córdoba,75.22,276360,430771,102217,48368,9756,34,1680,3064,218599,124833,84236,63823,361021,11728
198,2020,3,Corrientes,41.75,50858,58681,2960,5513,5379,24,720,5270,35190,23315,25308,8615,25344,502
199,2020,3,Entre Ríos,58.19,87892,106950,13954,20379,1232,22,1300,2911,66648,51478,40797,14377,49395,15759
200,2020,3,Formosa,31.91,21790,10003,2000,15023,3930,18,3910,1510,23163,7432,7125,9910,8219,1737
201,2020,3,Jujuy,54.04,32611,57682,11112,9520,4371,22,550,1820,32131,10566,45198,2930,15238,3065
202,2020,3,La Pampa,79.26,9015,56845,14677,11893,1305,11,2930,8100,66695,782,5577,2189,6322,4029
203,2020,3,La Rioja,50.12,17346,34984,1,2500,350,12,210,10,37105,5955,466,1240,4748,20
204,2020,3,Mendoza,37.35,91908,64672,32817,17523,8680,10,580,400,141404,12123,42433,3448,8237,450
205,2020,3,Misiones,41.6,50195,77989,2572,3445,8985,24,710,5240,39005,24215,25942,13663,30987,8779
206,2020,3,Neuquén,65.24,30222,70446,11043,16787,7370,31,2180,3270,60463,6561,5975,5449,49439,8030
207,2020,3,Río Negro,57.05,49530,40001,10381,13187,18368,21,1140,4660,68986,3769,7096,3455,28488,19093
208,2020,3,Salta,52.32,58216,84128,25445,5764,7293,25,1290,5140,32780,64736,1599,7928,43773,14996
209,2020,3,San Juan,38.79,40092,9223,5509,14023,848,6,480,1940,65526,7110,6529,410,128,415
210,2020,3,San Luis,79.96,8401,10077,6,61828,36253,21,1050,0,12199,3351,2666,61319,8,36917
211,2020,3,Santa Cruz,35.95,12845,16098,1027,6938,2373,7,660,0,26888,4015,673,6290,120,8330
212,2020,3,Santa Fe,72.12,295051,405807,45721,37112,19307,26,5680,1241,213353,199381,92095,58797,210562,27001
213,2020,3,Santiago Del Estero,43.38,26419,70720,555,4185,3613,11,1330,9090,33287,57418,4658,2920,3994,4801
214,2020,3,Tierra Del Fuego,76.81,12854,26491,0,0,3100,9,110,0,22094,5414,3726,4810,937,6992
215,2020,3,Tucumán,53.23,149605,11752,59949,1808,7620,35,520,970,45913,5461,33126,3246,84195,2637
216,2020,2,Buenos Aires,65.22,661272,2244277,723072,91736,57189,46,37542,31606,1129236,241336,233132,188995,1894466,21233
217,2020,2,Capital Federal,49.06575,178896,1106133,39482,3937,29373,60,2640,3120,166474,94585,79858,8016,935481,6870
218,2020,2,Catamarca,45.43,26968,3641,14878,2610,2228,35,630,0,8801,869,10242,4260,16578,3176
219,2020,2,Chaco,39.83,46816,56017,17266,6452,1581,28,3080,9280,24350,2114,29044,12082,33311,6969
220,2020,2,Chubut,57.34,45761,38279,1324,17678,5614,8,1580,1090,69578,22188,10537,1473,614,3999
221,2020,2,Córdoba,72.71,282858,415007,85818,44522,8263,31,1680,4383,219025,125932,8953,63216,325243,8971
222,2020,2,Corrientes,40.3,51248,55536,3144,3927,5011,22,720,5270,34242,22845,25844,7898,22418,502
223,2020,2,Entre Ríos,56.54,89391,99423,13954,20042,11303,20,1300,3679,66758,5064,4209,12856,43391,14569
224,2020,2,Formosa,31.14,21805,9353,1882,14723,1690,17,3910,1510,23534,7109,6998,9610,7475,1313
225,2020,2,Jujuy,47.89,32705,38938,5057,9520,16664,16,550,1820,30548,10519,26829,2090,9417,16557
226,2020,2,La Pampa,76.1,8551,54422,14232,11314,129,8,2930,8100,71218,7531,38,1657,3377,1123
227,2020,2,La Rioja,49.84,16885,34984,1,2500,350,12,210,10,37375,5661,4686,730,4336,20
228,2020,2,Mendoza,36.25,91904,62941,29613,15924,8020,9,580,400,142253,12439,35274,3248,5422,245
229,2020,2,Misiones,40.89,50792,74497,2579,3319,9153,23,710,5240,39867,23719,26445,12305,28763,8646
230,2020,2,Neuquén,63.9,30256,67990,11037,15755,1134,29,2180,3270,61171,6103,6625,5296,46432,0
231,2020,2,Río Negro,56.37,49756,39650,10382,11331,18367,20,1140,4660,70817,3335,7498,3246,26953,17057
232,2020,2,Salta,51.58,59502,81740,24289,5123,7108,23,1290,5140,41801,64463,16989,7741,39594,6531
233,2020,2,San Juan,35.09,40092,8275,5509,7019,8882,6,480,1940,59113,9170,4908,400,127,443
234,2020,2,San Luis,78.41,8401,8357,6,60935,36253,21,1050,0,11439,3585,1934,60889,8,35992
235,2020,2,Santa Cruz,35.79,12845,16044,1027,6585,2368,7,660,0,26938,4166,6541,5460,119,4930
236,2020,2,Santa Fe,70.0,299974,381679,46698,30487,19094,24,5680,2061,213054,198772,96575,57236,189473,20193
237,2020,2,Santiago Del Estero,43.47,25917,72074,355,3038,4063,10,1330,1779,32557,57709,5178,2470,3328,4516
